param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1441,,,,,,,1.579,0.003,1.575,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.,0.043
1454,,,,,,,1.683,0.051,1.631,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,0.08802,0.00027,0.00731,0.00165,0.097,0.004,0.007,0.08407,0.00036,0.00681,0.00181,0.093,0.,0.012,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.,0.066
1530,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.,0.049
1531,,,,,,,2.099,0.023,2.075,,,,,,,,,,,,,,,,,,,,
1566,,,,0.723,0.003,0.719,,,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.,0.049
1593,,,,,,,,,,0.08933,0.00031,0.00741,0.00188,0.099,0.003,0.009,0.08588,0.00036,0.00791,0.00191,0.096,0.003,0.009,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1621,,,,,,,1.948,0.,1.948,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.,0.069
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.,0.057
1706,,,,,,,,,,0.08937,0.00027,0.01214,0.00171,0.103,0.004,0.012,0.08733,0.00028,0.00884,0.00178,0.098,0.003,0.01,,,,,,
1709,,,,0.869,0.,0.869,,,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,2.279,0.,2.279,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.,0.077
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.,0.103
1801,,,,,,,2.464,0.027,2.436,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
1820,,,,,,,,,,0.08862,0.00025,0.00977,0.00225,0.101,0.003,0.011,0.09104,0.00034,0.00981,0.00195,0.103,0.003,0.011,,,,,,
1826,,,,0.964,0.,0.964,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.,0.07
1851,,,,0.994,0.,0.994,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.,0.07
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.,0.073
1933,,,,,,,,,,0.08723,0.00025,0.01117,0.00205,0.1,0.004,0.012,0.08255,0.00033,0.01114,0.00222,0.096,0.,0.016,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.,0.074
1993,,,,1.145,0.003,1.141,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.,0.08
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,0.007,0.13
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,0.,0.085
2047,,,,,,,,,,0.08698,0.00024,0.01149,0.00250,0.101,0.,0.016,0.08777,0.00033,0.01504,0.00202,0.105,0.008,0.012,,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.,0.09
2118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.,0.096
2136,,,,1.36,0.003,1.356,,,,,,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,0.,0.097
