param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
224,1,224,0.588,0.,0.588,,,,,,,,,,,,,,0.165,0.,0.165,,,,,,,,,,,,
224,224,1,0.362,0.,0.362,,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.166,0.,0.166,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.089,0.,0.089,,,,,,,,,,,,
239,1,239,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,,,,,,,,0.02,0.,0.02,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.202,0.,0.202,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.079,0.,0.079,,,,,,,,,,,,
247,1,247,0.654,0.,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.371,0.,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.205,0.,0.205,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.085,0.,0.085,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.09544,0.00045,0.00105,0.00104,0.098,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.09433,0.00048,0.00101,0.00143,0.097,0.,0.006,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,0.916,0.,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.572,0.,0.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.031,0.,0.031,,,,,,,0.09565,0.00045,0.00097,0.00119,0.098,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,,,,,0.276,0.,0.276,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,,,,,0.109,0.,0.109,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.09302,0.00045,0.00104,0.00121,0.095,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,0.09474,0.00045,0.00105,0.00160,0.098,0.004,0.001,,,,0.002,0.,0.002,,,,,,,,,
297,1,297,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.09713,0.00037,0.00113,0.00103,0.099,0.,0.017,0.023,0.,0.023,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.08104,0.00036,0.00089,0.00111,0.083,0.,0.004,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.08538,0.00028,0.00084,0.00151,0.088,0.,0.005,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.33,0.,0.33,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.132,0.,0.132,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.09479,0.00045,0.00103,0.00133,0.097,0.002,0.003,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,0.09060,0.00048,0.00097,0.00181,0.094,0.,0.006,,,,0.002,0.,0.002,,,,,,,,,
336,1,336,1.247,0.,1.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.746,0.007,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.036,0.,0.036,0.,0.,0.,0.,0.,0.,0.08241,0.00045,0.00104,0.00135,0.085,0.004,0.001,0.028,0.,0.028,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.413,0.,0.413,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.177,0.,0.177,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.09002,0.00042,0.00098,0.00147,0.093,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.08648,0.00037,0.00091,0.00172,0.089,0.004,0.001,,,,0.002,0.,0.002,,,,,,,,,
380,19,20,,,,,,,,,,0.09031,0.00042,0.00106,0.00159,0.093,0.,0.006,0.032,0.,0.032,0.001,0.,0.001,,,,,,,,,
