param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
297,297,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.086,0.,0.005,0.029,0.,0.029,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.085,0.,0.006,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.087,0.003,0.002,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,0.314,0.,0.314,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,0.153,0.,0.153,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.09,0.,0.006,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,0.101,0.007,0.013,,,,0.002,0.,0.002,,,,,,,,,
336,1,336,1.397,0.,1.397,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.813,0.,0.813,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.036,0.,0.036,0.,0.,0.,0.,0.,0.,0.091,0.003,0.003,0.05,0.,0.05,0.001,0.,0.002,,,,,,,,,
355,1,355,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,0.386,0.,0.386,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,0.195,0.,0.195,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.091,0.004,0.003,,,,0.002,0.,0.002,,,,,,,,,
365,365,1,,,,,,,,,,0.095,0.003,0.003,,,,0.002,0.,0.002,,,,,,,,,
380,19,20,,,,,,,,,,0.096,0.004,0.002,0.038,0.,0.038,0.002,0.,0.002,,,,,,,,,
400,1,400,,,,,,,,,,,,,0.59,0.,0.59,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
400,400,1,,,,,,,,,,,,,0.267,0.,0.267,,,,,,,,,,,,
401,1,401,,,,,,,,,,0.084,0.,0.006,,,,0.004,0.,0.004,,,,,,,,,
401,401,1,,,,,,,,,,0.087,0.003,0.003,,,,0.003,0.,0.003,,,,,,,,,
