param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
85,0.124,0.,0.124,0.127,0.003,0.123,0.,0.,0.,0.091,0.,0.091,0.031,0.,0.031,0.03,0.,0.03,0.095,0.003,0.091,0.,0.,0.
86,0.13,0.,0.13,0.128,0.,0.128,0.,0.,0.,0.093,0.,0.093,0.035,0.,0.035,0.031,0.,0.031,0.095,0.,0.095,0.,0.,0.
87,0.127,0.003,0.123,0.127,0.,0.127,0.,0.,0.,0.09,0.,0.09,0.034,0.003,0.03,0.034,0.,0.034,0.091,0.,0.091,0.,0.,0.
88,0.134,0.,0.134,0.132,0.,0.132,0.001,0.,0.001,0.099,0.,0.099,0.033,0.,0.033,0.031,0.,0.031,0.099,0.,0.099,0.,0.,0.
89,0.141,0.,0.141,0.146,0.,0.146,0.001,0.,0.001,0.103,0.,0.103,0.036,0.,0.036,0.039,0.,0.039,0.105,0.,0.105,0.,0.,0.
90,0.136,0.,0.136,0.135,0.,0.135,0.,0.,0.,0.096,0.,0.096,0.038,0.,0.038,0.037,0.,0.037,0.095,0.,0.095,0.,0.,0.
91,0.134,0.,0.134,0.163,0.,0.163,0.,0.,0.,0.095,0.,0.095,0.037,0.,0.037,0.047,0.,0.047,0.113,0.,0.113,0.,0.,0.
92,0.137,0.,0.137,0.137,0.,0.137,0.001,0.,0.001,0.096,0.,0.096,0.038,0.,0.038,0.036,0.,0.036,0.099,0.,0.099,0.,0.,0.
93,0.145,0.003,0.141,0.149,0.007,0.141,0.,0.,0.,0.104,0.003,0.1,0.039,0.,0.039,0.04,0.,0.04,0.106,0.007,0.098,0.,0.,0.
94,0.141,0.,0.141,0.154,0.,0.154,0.,0.,0.,0.101,0.,0.101,0.037,0.,0.037,0.041,0.,0.041,0.11,0.,0.11,0.001,0.,0.001
95,0.144,0.,0.144,0.152,0.,0.152,0.,0.,0.,0.102,0.,0.102,0.04,0.,0.04,0.041,0.,0.041,0.108,0.,0.108,0.001,0.,0.001
96,0.159,0.,0.159,0.162,0.,0.162,0.001,0.,0.001,0.112,0.,0.112,0.045,0.,0.045,0.043,0.,0.043,0.117,0.,0.117,0.001,0.,0.001
97,0.156,0.003,0.152,0.179,0.,0.179,0.,0.,0.,0.111,0.003,0.107,0.043,0.,0.043,0.045,0.,0.045,0.132,0.,0.132,0.001,0.,0.001
98,0.16,0.,0.16,0.168,0.,0.168,0.001,0.,0.001,0.117,0.,0.117,0.04,0.,0.04,0.044,0.,0.044,0.12,0.,0.12,0.001,0.,0.001
99,0.167,0.,0.167,0.167,0.,0.167,0.001,0.,0.001,0.118,0.,0.118,0.042,0.,0.042,0.043,0.,0.043,0.121,0.,0.121,0.001,0.,0.001
100,0.184,0.004,0.18,0.181,0.,0.181,0.001,0.,0.,0.127,0.003,0.123,0.055,0.,0.055,0.056,0.,0.056,0.123,0.,0.123,0.001,0.,0.001
110,0.195,0.,0.195,0.205,0.,0.205,0.001,0.,0.001,0.139,0.,0.139,0.053,0.,0.053,0.058,0.,0.058,0.144,0.,0.144,0.001,0.,0.001
120,0.24,0.003,0.236,0.241,0.,0.241,0.001,0.,0.001,0.171,0.003,0.167,0.066,0.,0.066,0.065,0.,0.065,0.173,0.,0.173,0.001,0.,0.001
130,0.278,0.003,0.274,0.287,0.,0.287,0.001,0.,0.001,0.202,0.003,0.198,0.073,0.,0.073,0.079,0.,0.079,0.205,0.,0.205,0.001,0.,0.001
140,0.319,0.,0.319,0.323,0.,0.323,0.001,0.,0.001,0.229,0.,0.229,0.087,0.,0.087,0.083,0.,0.083,0.237,0.,0.237,0.001,0.,0.001
150,0.47,0.,0.47,0.452,0.007,0.444,0.001,0.,0.001,0.299,0.,0.299,0.168,0.,0.168,0.171,0.,0.171,0.278,0.007,0.271,0.001,0.,0.001
