param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
41,0.072,0.,0.072,0.028,0.,0.028,0.03,0.,0.03,0.006,0.,0.006,0.041,0.,0.041,0.,0.,0.,0.021,0.,0.021,0.,0.,0.
42,0.054,0.,0.054,0.088,0.,0.088,0.009,0.,0.009,0.064,0.,0.064,0.043,0.,0.043,0.,0.,0.,0.022,0.,0.022,0.,0.,0.
43,0.058,0.,0.058,0.032,0.,0.032,0.01,0.,0.01,0.007,0.,0.007,0.046,0.,0.046,0.,0.,0.,0.024,0.,0.024,0.,0.,0.
44,0.062,0.,0.062,0.032,0.,0.032,0.01,0.,0.01,0.008,0.,0.008,0.05,0.,0.05,0.,0.,0.,0.023,0.,0.023,0.,0.,0.
45,0.064,0.,0.064,0.034,0.,0.034,0.011,0.,0.011,0.007,0.,0.007,0.052,0.,0.052,0.,0.,0.,0.025,0.,0.025,0.,0.,0.
46,0.065,0.,0.065,0.066,0.,0.066,0.011,0.,0.011,0.008,0.,0.008,0.052,0.,0.052,0.,0.,0.,0.056,0.,0.056,0.,0.,0.
47,0.065,0.,0.065,0.037,0.,0.037,0.011,0.,0.011,0.008,0.,0.008,0.052,0.,0.051,0.,0.,0.,0.027,0.,0.027,0.,0.,0.
48,0.07,0.,0.07,0.04,0.,0.04,0.011,0.,0.011,0.009,0.,0.009,0.056,0.,0.056,0.001,0.,0.001,0.029,0.,0.029,0.,0.,0.
49,0.078,0.,0.078,0.062,0.,0.062,0.013,0.,0.013,0.009,0.,0.009,0.064,0.,0.064,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
50,0.142,0.028,0.113,0.111,0.02,0.09,0.013,0.,0.012,0.065,0.004,0.061,0.128,0.028,0.1,0.,0.,0.,0.044,0.016,0.028,0.001,0.,0.
51,0.083,0.,0.083,0.045,0.,0.045,0.013,0.,0.013,0.009,0.,0.009,0.068,0.,0.068,0.,0.,0.,0.034,0.,0.034,0.,0.,0.
52,0.081,0.,0.081,0.046,0.,0.046,0.014,0.,0.014,0.01,0.,0.01,0.065,0.,0.065,0.,0.,0.,0.034,0.,0.034,0.,0.,0.
53,0.08,0.,0.08,0.048,0.,0.048,0.014,0.,0.014,0.01,0.,0.01,0.064,0.,0.064,0.,0.,0.,0.034,0.,0.034,0.002,0.,0.002
54,0.084,0.,0.084,0.05,0.,0.05,0.015,0.,0.015,0.01,0.,0.01,0.067,0.,0.067,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
55,0.087,0.,0.087,0.05,0.,0.05,0.015,0.,0.015,0.012,0.,0.012,0.07,0.,0.07,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
56,0.091,0.,0.091,0.049,0.,0.049,0.015,0.,0.015,0.011,0.,0.011,0.074,0.,0.074,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
57,0.094,0.,0.094,0.051,0.,0.051,0.017,0.,0.017,0.011,0.,0.011,0.075,0.,0.075,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
58,0.096,0.,0.096,0.054,0.,0.054,0.016,0.,0.016,0.012,0.,0.012,0.078,0.,0.078,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
59,0.104,0.003,0.1,0.057,0.,0.057,0.022,0.003,0.018,0.013,0.,0.013,0.08,0.,0.08,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
60,0.106,0.,0.106,0.063,0.,0.06,0.018,0.,0.018,0.015,0.,0.014,0.086,0.,0.086,0.,0.,0.,0.046,0.,0.044,0.,0.,0.
61,0.103,0.,0.103,0.065,0.,0.064,0.02,0.,0.02,0.016,0.,0.016,0.081,0.,0.081,0.,0.,0.,0.047,0.,0.047,0.,0.,0.
62,0.109,0.,0.109,0.068,0.,0.068,0.02,0.,0.02,0.014,0.,0.014,0.087,0.,0.087,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
63,0.116,0.,0.116,0.062,0.,0.062,0.02,0.,0.02,0.014,0.,0.014,0.09,0.,0.09,0.005,0.,0.005,0.046,0.,0.046,0.,0.,0.
64,0.119,0.,0.119,0.065,0.,0.065,0.023,0.,0.023,0.014,0.,0.014,0.094,0.,0.094,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
65,0.121,0.,0.121,0.068,0.,0.068,0.022,0.,0.022,0.016,0.,0.016,0.097,0.,0.097,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
66,0.12,0.,0.12,0.072,0.,0.072,0.022,0.,0.022,0.016,0.,0.016,0.096,0.,0.096,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
67,0.127,0.,0.127,0.072,0.,0.072,0.025,0.,0.025,0.017,0.,0.017,0.099,0.,0.099,0.001,0.,0.001,0.052,0.,0.052,0.,0.,0.
68,0.13,0.,0.13,0.08,0.003,0.077,0.025,0.,0.025,0.017,0.,0.017,0.102,0.,0.102,0.,0.,0.,0.061,0.003,0.058,0.001,0.,0.001
69,0.137,0.,0.137,0.078,0.,0.078,0.026,0.,0.026,0.018,0.,0.018,0.109,0.,0.109,0.,0.,0.,0.058,0.,0.058,0.,0.,0.
70,0.148,0.,0.148,0.08,0.,0.08,0.028,0.,0.028,0.019,0.,0.019,0.117,0.,0.117,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
71,0.145,0.,0.145,0.086,0.,0.086,0.028,0.,0.028,0.02,0.,0.02,0.115,0.,0.115,0.001,0.,0.001,0.063,0.,0.063,0.001,0.,0.001
72,0.145,0.,0.145,0.083,0.,0.083,0.028,0.,0.028,0.019,0.,0.019,0.115,0.,0.115,0.001,0.,0.001,0.061,0.,0.061,0.001,0.,0.001
73,0.143,0.,0.143,0.088,0.,0.088,0.027,0.,0.027,0.022,0.,0.022,0.113,0.,0.113,0.,0.,0.,0.064,0.,0.064,0.001,0.,0.001
74,0.153,0.,0.153,0.089,0.,0.089,0.028,0.,0.028,0.021,0.,0.021,0.123,0.,0.123,0.,0.,0.,0.066,0.,0.066,0.001,0.,0.001
75,0.149,0.,0.149,0.09,0.,0.09,0.028,0.,0.028,0.02,0.,0.02,0.119,0.,0.119,0.,0.,0.,0.067,0.,0.067,0.001,0.,0.001
76,0.155,0.,0.155,0.089,0.,0.089,0.031,0.,0.031,0.023,0.,0.023,0.121,0.,0.121,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001
77,0.164,0.003,0.16,0.093,0.,0.093,0.028,0.,0.028,0.021,0.,0.021,0.134,0.003,0.13,0.001,0.,0.001,0.07,0.,0.07,0.001,0.,0.001
78,0.165,0.,0.165,0.099,0.,0.099,0.032,0.,0.032,0.026,0.,0.026,0.131,0.,0.131,0.001,0.,0.001,0.07,0.,0.07,0.001,0.,0.001
