param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2729,,,,,,,,,,0.07458,0.00019,0.06018,0.00400,0.139,0.003,0.063,0.07129,0.00021,0.03262,0.00469,0.109,0.,0.039,,,,,,
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,0.,0.142
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.,0.129
2824,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.,0.13
2842,,,,,,,,,,0.07237,0.00020,0.03589,0.00494,0.113,0.,0.043,0.07260,0.00020,0.03526,0.00430,0.112,0.003,0.039,,,,,,
2847,,,,2.654,0.007,2.646,,,,,,,,,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.,0.133
2881,,,,,,,6.455,0.035,6.418,,,,,,,,,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.,0.145
2941,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,0.,0.148
2956,,,,,,,,,,0.06930,0.00020,0.03679,0.00441,0.11,0.003,0.04,0.06831,0.00022,0.04112,0.00430,0.114,0.008,0.04,,,,,,
2980,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153,0.,0.153
3019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,0.,0.149
3059,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.,0.156
3070,,,,,,,,,,0.07131,0.00019,0.04113,0.00508,0.117,0.003,0.045,0.06969,0.00021,0.06670,0.00464,0.141,0.007,0.066,,,,,,
3098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.,0.157
3137,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.,0.16
3183,,,,,,,,,,0.07547,0.00019,0.04951,0.00480,0.13,0.003,0.054,0.07299,0.00023,0.04624,0.00478,0.124,0.004,0.049,,,,,,
3241,,,,,,,7.96,0.043,7.915,,,,,,,,,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,0.,0.178
3297,,,,,,,,,,0.07003,0.00019,0.05900,0.00489,0.134,0.007,0.059,0.07468,0.00022,0.05798,0.00486,0.137,0.004,0.061,,,,,,
3398,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,0.,0.191
3410,,,,,,,,,,0.07170,0.00019,0.04995,0.00535,0.127,0.,0.058,0.06995,0.00025,0.04979,0.00546,0.125,0.003,0.054,,,,,,
3416,,,,3.804,0.,3.803,,,,,,,,,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.07204,0.00018,0.06364,0.00533,0.141,0.003,0.068,0.07077,0.00021,0.05381,0.00499,0.129,0.,0.061,,,,,,
3529,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,0.,0.204
3601,,,,,,,9.681,0.112,9.568,,,,,,,,,,,,,,,,,,,,
3638,,,,,,,,,,0.07200,0.00019,0.06013,0.00526,0.137,0.,0.067,0.07657,0.00021,0.05825,0.00518,0.14,0.,0.066,,,,,,
3660,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,0.,0.223
3674,,,,,,,,,,0.26580,0.00125,0.05553,0.00515,0.329,0.002,0.072,0.06649,0.00027,0.07469,0.00510,0.146,0.004,0.077,,,,,,
3751,,,,,,,,,,0.07072,0.00030,0.06340,0.00529,0.139,0.,0.071,0.07289,0.00020,0.06013,0.00536,0.138,0.,0.068,,,,,,
3790,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,0.,0.232
3865,,,,,,,,,,0.07520,0.00020,0.06700,0.00619,0.148,0.,0.076,0.07323,0.00021,0.06607,0.00573,0.145,0.007,0.066,,,,,,
3921,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.,0.249
3979,,,,,,,,,,0.07205,0.00019,0.06967,0.00580,0.147,0.003,0.074,0.07373,0.00021,0.06902,0.00640,0.149,0.003,0.074,,,,,,
3985,,,,5.091,0.011,5.079,,,,,,,,,,,,,,,,,,,,,,,
4024,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,0.003,0.255
4052,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.,0.26
4092,,,,,,,,,,0.07305,0.00020,0.07321,0.00592,0.153,0.,0.082,0.07254,0.00021,0.07426,0.00594,0.153,0.003,0.079,,,,,,
4182,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297,0.,0.297
4206,,,,,,,,,,0.06970,0.00022,0.07373,0.00639,0.15,0.,0.083,0.07066,0.00021,0.07667,0.00668,0.154,0.003,0.082,,,,,,
4313,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,0.,0.309
4319,,,,,,,,,,0.07214,0.00020,0.08230,0.00656,0.161,0.003,0.088,0.07319,0.00021,0.07806,0.01101,0.162,0.,0.092,,,,,,
4433,,,,,,,,,,0.07237,0.00021,0.08573,0.00607,0.164,0.,0.095,0.07440,0.00021,0.08943,0.00622,0.17,0.003,0.096,,,,,,
4444,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,0.,0.326
4547,,,,,,,,,,0.07237,0.00018,0.08813,0.00743,0.168,0.,0.098,0.07186,0.00020,0.09319,0.00696,0.172,0.,0.103,,,,,,
4555,,,,6.65,0.004,6.645,,,,,,,,,,,,,,,,,,,,,,,
4574,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,0.,0.319
