param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
306,17,18,,,,0.002,0.,0.002,0.001,0.,0.001,0.07425,0.00022,0.00081,0.00166,0.077,0.002,0.003,0.03,0.,0.03,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.07498,0.00023,0.00072,0.00155,0.077,0.006,0.,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.07547,0.00025,0.00074,0.00193,0.078,0.003,0.001,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.363,0.,0.363,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.187,0.,0.187,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.07667,0.00026,0.00075,0.00120,0.079,0.004,0.,,,,0.002,0.002,0.,,,,,,,,,
329,329,1,,,,,,,,,,0.07613,0.00029,0.00078,0.00166,0.079,0.,0.005,,,,0.06,0.012,0.048,,,,,,,,,
336,1,336,0.385,0.,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.3,0.003,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.025,0.,0.025,0.001,0.,0.001,0.001,0.001,0.,0.07432,0.00039,0.00074,0.00134,0.076,0.,0.005,0.035,0.,0.035,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.002,0.,0.002,0.003,0.003,0.,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.001,0.,0.057,0.009,0.048,,,,,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.435,0.,0.435,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.202,0.,0.202,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.07814,0.00035,0.00078,0.00141,0.08,0.003,0.001,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.07708,0.00027,0.00077,0.00213,0.08,0.,0.006,,,,0.003,0.,0.003,,,,,,,,,
380,19,20,,,,,,,,,,0.07973,0.00027,0.00077,0.00160,0.082,0.003,0.002,0.037,0.,0.037,0.001,0.,0.001,,,,,,,,,
400,1,400,,,,,,,,,,,,,,,,,0.49,0.,0.49,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,,,,,0.038,0.,0.038,,,,,,,,,,,,
