param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
105,3,7,241,31,105,0.007,0.,0.007,0.007,0.,0.007,0.118,0.001,0.117,0.02,0.,0.02,0.042,0.,0.042,0.01,0.,0.01
106,0,106,215,3,106,0.085,0.,0.085,,,,,,,0.037,0.,0.037,0.078,0.,0.078,0.052,0.,0.052
107,0,107,217,3,107,,,,,,,,,,0.041,0.,0.041,,,,,,
108,0,108,219,3,108,,,,,,,,,,0.039,0.001,0.038,,,,,,
108,1,36,223,7,108,,,,,,,,,,0.034,0.,0.034,0.068,0.,0.068,,,
109,0,109,221,3,109,0.027,0.,0.027,0.032,0.,0.032,,,,0.039,0.,0.039,0.081,0.,0.081,0.039,0.,0.039
110,0,110,223,3,110,,,,,,,,,,0.04,0.,0.039,,,,,,
111,0,111,225,3,111,,,,,,,,,,0.044,0.,0.043,,,,,,
111,1,37,229,7,111,0.018,0.,0.018,0.02,0.,0.02,,,,0.033,0.,0.032,0.069,0.,0.069,0.029,0.,0.029
112,0,112,227,3,112,0.061,0.,0.061,,,,,,,0.041,0.,0.041,0.083,0.,0.083,0.038,0.,0.038
112,2,16,239,15,112,0.013,0.,0.013,0.013,0.,0.013,,,,0.028,0.,0.028,0.06,0.,0.06,0.019,0.,0.019
113,0,113,229,3,113,,,,,,,,,,0.041,0.,0.041,,,,,,
114,0,114,231,3,114,,,,,,,,,,0.042,0.,0.042,,,,,,
114,1,38,235,7,114,,,,,,,,,,0.036,0.,0.036,0.072,0.,0.072,,,
115,0,115,233,3,115,0.031,0.,0.031,0.03,0.,0.03,,,,0.046,0.,0.046,0.087,0.,0.087,0.041,0.,0.041
116,0,116,235,3,116,,,,,,,,,,0.045,0.,0.045,,,,,,
117,0,117,237,3,117,,,,,,,,,,0.049,0.,0.049,,,,,,
117,1,39,241,7,117,0.021,0.,0.021,0.054,0.,0.054,,,,0.041,0.,0.041,0.08,0.,0.08,0.034,0.,0.033
118,0,118,239,3,118,0.049,0.,0.049,,,,,,,0.049,0.,0.049,0.091,0.,0.091,0.051,0.,0.051
119,0,119,241,3,119,,,,,,,,,,0.055,0.,0.055,,,,,,
119,2,17,253,15,119,0.014,0.,0.014,0.014,0.,0.014,,,,0.032,0.,0.032,0.067,0.,0.067,0.022,0.,0.022
120,0,120,243,3,120,,,,,,,,,,0.056,0.,0.056,,,,,,
120,1,40,247,7,120,,,,,,,,,,0.039,0.,0.039,0.08,0.,0.08,,,
120,3,8,271,31,120,0.011,0.,0.011,0.009,0.,0.009,0.128,0.,0.128,0.025,0.,0.025,0.058,0.,0.058,0.012,0.,0.012
121,0,121,245,3,121,0.034,0.,0.034,0.039,0.,0.039,,,,0.056,0.,0.056,0.096,0.,0.096,0.052,0.,0.052
122,0,122,247,3,122,,,,,,,,,,0.052,0.,0.052,,,,,,
123,0,123,249,3,123,,,,,,,,,,0.048,0.,0.048,,,,,,
123,1,41,253,7,123,0.022,0.,0.022,0.023,0.,0.023,,,,0.042,0.,0.042,0.087,0.,0.086,0.036,0.,0.036
124,0,124,251,3,124,0.033,0.,0.033,,,,,,,0.049,0.,0.048,0.1,0.,0.1,0.051,0.,0.051
124,4,4,311,63,124,0.007,0.,0.007,0.006,0.,0.006,0.141,0.,0.141,0.026,0.,0.026,0.047,0.,0.047,0.009,0.,0.009
125,0,125,253,3,125,,,,,,,,,,0.051,0.,0.051,,,,,,
126,0,126,255,3,126,,,,,,,,,,0.059,0.,0.059,,,,,,
126,1,42,259,7,126,,,,,,,,,,0.046,0.,0.046,0.087,0.,0.087,,,
126,2,18,267,15,126,0.015,0.,0.015,0.016,0.,0.016,,,,0.037,0.,0.037,0.076,0.,0.076,0.023,0.,0.023
126,5,2,379,127,126,0.006,0.,0.006,0.005,0.,0.005,,,,0.022,0.,0.022,0.042,0.,0.042,0.007,0.,0.007
127,0,127,257,3,127,0.038,0.,0.037,0.036,0.,0.036,,,,0.06,0.,0.059,0.106,0.,0.106,0.119,0.,0.119
127,6,1,509,255,127,0.007,0.,0.007,0.004,0.,0.004,0.099,0.,0.098,0.027,0.,0.027,0.046,0.,0.046,0.005,0.,0.005
128,0,128,259,3,128,,,,,,,,,,0.061,0.,0.061,,,,,,
129,0,129,261,3,129,,,,,,,,,,0.062,0.,0.062,0.113,0.,0.113,,,
129,1,43,265,7,129,0.024,0.,0.024,0.027,0.,0.026,,,,0.049,0.,0.049,0.093,0.,0.093,0.039,0.,0.039
